Task,Configuration,Index,CumulativeSpectralEnergy
NARMA10,Single-lattice,50,0.99089971623329
NARMA10,Single-lattice,51,0.991644244190459
NARMA10,Single-lattice,52,0.992367002895773
NARMA10,Single-lattice,53,0.993006999264532
NARMA10,Single-lattice,54,0.993630926334263
NARMA10,Single-lattice,55,0.994181247184733
NARMA10,Single-lattice,56,0.994707742558592
NARMA10,Single-lattice,57,0.995172548000578
NARMA10,Single-lattice,58,0.995594700239151
NARMA10,Single-lattice,59,0.996000242210034
NARMA10,Single-lattice,60,0.996391610815782
NARMA10,Single-lattice,61,0.996757133688978
NARMA10,Single-lattice,62,0.99709593145561
NARMA10,Single-lattice,63,0.997428022143549
NARMA10,Single-lattice,64,0.997749819641581
NARMA10,Single-lattice,65,0.99805045561408
NARMA10,Single-lattice,66,0.998336305543489
NARMA10,Single-lattice,67,0.998608458528126
NARMA10,Single-lattice,68,0.998868086534848
NARMA10,Single-lattice,69,0.999113769634109
NARMA10,Single-lattice,70,0.99935414849562
NARMA10,Single-lattice,71,0.999560580649597
NARMA10,Single-lattice,72,0.999757283236209
NARMA10,Single-lattice,73,0.999943084616281
NARMA10,Single-lattice,74,1
NARMA10,Multi-lattice fusion,1,0.114267835907692
NARMA10,Multi-lattice fusion,2,0.197881885004496
NARMA10,Multi-lattice fusion,3,0.274136300475161
NARMA10,Multi-lattice fusion,4,0.344378152174208
NARMA10,Multi-lattice fusion,5,0.401077439668275
NARMA10,Multi-lattice fusion,6,0.456170363032199
NARMA10,Multi-lattice fusion,7,0.508832519694939
NARMA10,Multi-lattice fusion,8,0.55091458837223
NARMA10,Multi-lattice fusion,9,0.588971755999571
NARMA10,Multi-lattice fusion,10,0.624511586327112
NARMA10,Multi-lattice fusion,11,0.655586576823524
NARMA10,Multi-lattice fusion,12,0.684581225186417
NARMA10,Multi-lattice fusion,13,0.712235088185356
NARMA10,Multi-lattice fusion,14,0.735081134527832
NARMA10,Multi-lattice fusion,15,0.753839391287699
NARMA10,Multi-lattice fusion,16,0.770313453448847
NARMA10,Multi-lattice fusion,17,0.784297674484897
NARMA10,Multi-lattice fusion,18,0.797792004374015
NARMA10,Multi-lattice fusion,19,0.810181334925175
NARMA10,Multi-lattice fusion,20,0.820958630587478
NARMA10,Multi-lattice fusion,21,0.831018500729107
NARMA10,Multi-lattice fusion,22,0.840458649302374
NARMA10,Multi-lattice fusion,23,0.849473838288882
NARMA10,Multi-lattice fusion,24,0.857966827492131
NARMA10,Multi-lattice fusion,25,0.865984780637694
NARMA10,Multi-lattice fusion,26,0.873645258189184
NARMA10,Multi-lattice fusion,27,0.880605471274197
NARMA10,Multi-lattice fusion,28,0.887244811143467
NARMA10,Multi-lattice fusion,29,0.893488535525844
NARMA10,Multi-lattice fusion,30,0.899285486674823
NARMA10,Multi-lattice fusion,31,0.904996596487589
NARMA10,Multi-lattice fusion,32,0.91038201319606
NARMA10,Multi-lattice fusion,33,0.915273112492975
NARMA10,Multi-lattice fusion,34,0.919724738296168
NARMA10,Multi-lattice fusion,35,0.923463278877127
NARMA10,Multi-lattice fusion,36,0.92709183792724
NARMA10,Multi-lattice fusion,37,0.930438659240576
NARMA10,Multi-lattice fusion,38,0.933737248391863
NARMA10,Multi-lattice fusion,39,0.936922586167169
NARMA10,Multi-lattice fusion,40,0.939880251939392
NARMA10,Multi-lattice fusion,41,0.942504480218317
NARMA10,Multi-lattice fusion,42,0.945042575010625
NARMA10,Multi-lattice fusion,43,0.947200680578936
NARMA10,Multi-lattice fusion,44,0.949142044332503
NARMA10,Multi-lattice fusion,45,0.950902833239654
NARMA10,Multi-lattice fusion,46,0.95258535202311
NARMA10,Multi-lattice fusion,47,0.954172090887002
NARMA10,Multi-lattice fusion,48,0.955649741070507
NARMA10,Multi-lattice fusion,49,0.956996956652598
NARMA10,Multi-lattice fusion,50,0.958296482268299
NARMA10,Multi-lattice fusion,51,0.959531587373203
NARMA10,Multi-lattice fusion,52,0.960758103726932
NARMA10,Multi-lattice fusion,53,0.961870376337859
NARMA10,Multi-lattice fusion,54,0.962954560958471
NARMA10,Multi-lattice fusion,55,0.963968548597445
NARMA10,Multi-lattice fusion,56,0.964961684282327
NARMA10,Multi-lattice fusion,57,0.965864296283063
NARMA10,Multi-lattice fusion,58,0.966753056701965
NARMA10,Multi-lattice fusion,59,0.967580779795805
NARMA10,Multi-lattice fusion,60,0.96839114066676
NARMA10,Multi-lattice fusion,61,0.969187393464672
