panel,matrix,sample_index,feature_channel,z_score_value
Supplementary Fig. 3,Lattice config 1,7,3,0.194189118624449
Supplementary Fig. 3,Lattice config 1,8,3,0.194189118624449
Supplementary Fig. 3,Lattice config 1,9,3,-0.497386273065052
Supplementary Fig. 3,Lattice config 1,10,3,-0.912331508078753
Supplementary Fig. 3,Lattice config 1,11,3,-0.704858890571902
Supplementary Fig. 3,Lattice config 1,12,3,-0.877752738494278
Supplementary Fig. 3,Lattice config 1,13,3,-0.774016429740853
Supplementary Fig. 3,Lattice config 1,14,3,-0.635701351402952
Supplementary Fig. 3,Lattice config 1,15,3,-0.857005476743593
Supplementary Fig. 3,Lattice config 1,16,3,-0.820121455853486
Supplementary Fig. 3,Lattice config 1,17,3,-0.497386273065052
Supplementary Fig. 3,Lattice config 1,18,3,-0.151598577220301
Supplementary Fig. 3,Lattice config 1,19,3,0.4016617361313
Supplementary Fig. 3,Lattice config 1,20,3,1.3698672844966
Supplementary Fig. 3,Lattice config 1,21,3,2.6147029895377
Supplementary Fig. 3,Lattice config 1,22,3,0.33250419696235
Supplementary Fig. 3,Lattice config 1,23,3,0.33250419696235
Supplementary Fig. 3,Lattice config 1,24,3,0.33250419696235
Supplementary Fig. 3,Lattice config 1,25,3,0.33250419696235
Supplementary Fig. 3,Lattice config 1,26,3,0.33250419696235
Supplementary Fig. 3,Lattice config 1,27,3,0.33250419696235
Supplementary Fig. 3,Lattice config 1,28,3,-0.820121455853486
Supplementary Fig. 3,Lattice config 1,29,3,-0.872812914267924
Supplementary Fig. 3,Lattice config 1,30,3,-0.912331508078753
Supplementary Fig. 3,Lattice config 1,31,3,-0.774016429740853
Supplementary Fig. 3,Lattice config 1,32,3,-0.820121455853486
Supplementary Fig. 3,Lattice config 1,33,3,-0.774016429740853
Supplementary Fig. 3,Lattice config 1,34,3,-0.635701351402952
Supplementary Fig. 3,Lattice config 1,35,3,-0.289913655558202
Supplementary Fig. 3,Lattice config 1,36,3,0.549856462921907
Supplementary Fig. 3,Lattice config 1,37,3,2.199757754524
Supplementary Fig. 3,Lattice config 1,38,3,3.51375099873406
Supplementary Fig. 3,Lattice config 1,39,3,2.19207358350523
Supplementary Fig. 3,Lattice config 1,40,3,-0.497386273065052
Supplementary Fig. 3,Lattice config 1,41,3,-0.635701351402952
Supplementary Fig. 3,Lattice config 1,42,3,-0.635701351402952
Supplementary Fig. 3,Lattice config 1,43,3,-0.704858890571902
Supplementary Fig. 3,Lattice config 1,44,3,-0.681806377515586
Supplementary Fig. 3,Lattice config 1,45,3,-0.71473853902461
Supplementary Fig. 3,Lattice config 1,46,3,-0.712543061590675
Supplementary Fig. 3,Lattice config 1,47,3,-0.658753864459269
Supplementary Fig. 3,Lattice config 1,48,3,-0.466649588989963
Supplementary Fig. 3,Lattice config 1,49,3,-0.193093100721671
Supplementary Fig. 3,Lattice config 1,50,3,0.49848229096783
Supplementary Fig. 3,Lattice config 1,51,3,1.57733990200345
Supplementary Fig. 3,Lattice config 1,52,3,1.57733990200345
Supplementary Fig. 3,Lattice config 1,53,3,0.905523807219365
Supplementary Fig. 3,Lattice config 1,54,3,-0.151598577220301
Supplementary Fig. 3,Lattice config 1,55,3,-0.151598577220301
Supplementary Fig. 3,Lattice config 1,56,3,-0.151598577220301
Supplementary Fig. 3,Lattice config 1,57,3,-0.681806377515586
Supplementary Fig. 3,Lattice config 1,58,3,-0.866226481966119
Supplementary Fig. 3,Lattice config 1,59,3,-0.774016429740853
Supplementary Fig. 3,Lattice config 1,60,3,-0.774016429740853
Supplementary Fig. 3,Lattice config 1,61,3,-0.774016429740853
Supplementary Fig. 3,Lattice config 1,62,3,-0.681806377515586
Supplementary Fig. 3,Lattice config 1,63,3,-0.635701351402952
Supplementary Fig. 3,Lattice config 1,64,3,-0.0824410380513511
Supplementary Fig. 3,Lattice config 1,65,3,1.02407958865185
Supplementary Fig. 3,Lattice config 1,66,3,1.20849969310238
Supplementary Fig. 3,Lattice config 1,67,3,2.13060021535505
Supplementary Fig. 3,Lattice config 1,68,3,2.13060021535505
Supplementary Fig. 3,Lattice config 1,69,3,-0.0824410380513511
Supplementary Fig. 3,Lattice config 1,70,3,-0.0824410380513511
Supplementary Fig. 3,Lattice config 1,71,3,-0.0824410380513511
Supplementary Fig. 3,Lattice config 1,72,3,-0.0824410380513511
Supplementary Fig. 3,Lattice config 1,73,3,-0.0824410380513511
Supplementary Fig. 3,Lattice config 1,74,3,-0.0824410380513511
Supplementary Fig. 3,Lattice config 1,75,3,-0.635701351402952
Supplementary Fig. 3,Lattice config 1,76,3,-0.912331508078753
Supplementary Fig. 3,Lattice config 1,77,3,-0.958436534191386
Supplementary Fig. 3,Lattice config 1,78,3,-0.843173968909803
Supplementary Fig. 3,Lattice config 1,79,3,-0.820121455853486
Supplementary Fig. 3,Lattice config 1,80,3,-0.746353414073272
Supplementary Fig. 3,Lattice config 1,81,3,-0.670280120987428
Supplementary Fig. 3,Lattice config 1,82,3,-0.589596325290319
Supplementary Fig. 3,Lattice config 1,83,3,-0.151598577220301
Supplementary Fig. 3,Lattice config 1,84,3,1.41926552676014
Supplementary Fig. 3,Lattice config 1,85,3,2.23817860961786
Supplementary Fig. 3,Lattice config 1,86,3,2.91438565926982
Supplementary Fig. 3,Lattice config 1,87,3,1.07940561998701
Supplementary Fig. 3,Lattice config 1,88,3,-0.457867679254224
Supplementary Fig. 3,Lattice config 1,89,3,-0.750963916684536
Supplementary Fig. 3,Lattice config 1,90,3,-0.635701351402952
Supplementary Fig. 3,Lattice config 1,91,3,-0.72214827536414
Supplementary Fig. 3,Lattice config 1,92,3,-0.651069693440497
Supplementary Fig. 3,Lattice config 1,93,3,-0.829342461076013
Supplementary Fig. 3,Lattice config 1,94,3,-0.681806377515586
Supplementary Fig. 3,Lattice config 1,95,3,-0.327152330495329
Supplementary Fig. 3,Lattice config 1,96,3,-0.0363360119387177
Supplementary Fig. 3,Lattice config 1,97,3,0.34633570479614
Supplementary Fig. 3,Lattice config 1,98,3,1.10476338434896
Supplementary Fig. 3,Lattice config 1,99,3,0.936060902436823
Supplementary Fig. 3,Lattice config 1,100,3,0.4016617361313
Supplementary Fig. 3,Lattice config 1,101,3,-0.284593844852898
Supplementary Fig. 3,Lattice config 1,102,3,-0.58540495928008
Supplementary Fig. 3,Lattice config 1,103,3,-0.65299073619519
Supplementary Fig. 3,Lattice config 1,104,3,-0.72214827536414
Supplementary Fig. 3,Lattice config 1,105,3,-0.704858890571902
Supplementary Fig. 3,Lattice config 1,106,3,-0.681806377515586
Supplementary Fig. 3,Lattice config 1,107,3,-0.752737186919637
Supplementary Fig. 3,Lattice config 1,108,3,-0.497386273065052
Supplementary Fig. 3,Lattice config 1,109,3,-0.197703603332935
Supplementary Fig. 3,Lattice config 1,110,3,0.304841181294769
Supplementary Fig. 3,Lattice config 1,111,3,0.74744943197605
Supplementary Fig. 3,Lattice config 1,112,3,1.19697343657423
Supplementary Fig. 3,Lattice config 1,113,3,1.0932371278208
Supplementary Fig. 3,Lattice config 1,114,3,0.297925427377874
Supplementary Fig. 3,Lattice config 1,115,3,-0.552712304400212
Supplementary Fig. 3,Lattice config 1,116,3,-0.635701351402952
Supplementary Fig. 3,Lattice config 1,117,3,-0.670280120987428
Supplementary Fig. 3,Lattice config 1,118,3,-0.718690398405693
Supplementary Fig. 3,Lattice config 1,119,3,-0.727911403628219
Supplementary Fig. 3,Lattice config 1,120,3,-0.774016429740853
Supplementary Fig. 3,Lattice config 1,1,4,-0.651536658161198
Supplementary Fig. 3,Lattice config 1,2,4,-0.353865489062122
Supplementary Fig. 3,Lattice config 1,3,4,0.563953948993362
Supplementary Fig. 3,Lattice config 1,4,4,1.20890814870803
Supplementary Fig. 3,Lattice config 1,5,4,2.72206992496166
Supplementary Fig. 3,Lattice config 1,6,4,2.52362247889561
Supplementary Fig. 3,Lattice config 1,7,4,-0.0561943199630463
Supplementary Fig. 3,Lattice config 1,8,4,-0.0561943199630463
Supplementary Fig. 3,Lattice config 1,9,4,-0.800372242710736
Supplementary Fig. 3,Lattice config 1,10,4,-0.800372242710736
Supplementary Fig. 3,Lattice config 1,11,4,-0.874790034985505
Supplementary Fig. 3,Lattice config 1,12,4,-0.800372242710736
Supplementary Fig. 3,Lattice config 1,13,4,-0.750760381194223
Supplementary Fig. 3,Lattice config 1,14,4,-0.750760381194223
Supplementary Fig. 3,Lattice config 1,15,4,-0.651536658161198
Supplementary Fig. 3,Lattice config 1,16,4,-0.651536658161198
Supplementary Fig. 3,Lattice config 1,17,4,-0.353865489062122
Supplementary Fig. 3,Lattice config 1,18,4,0.204267952998645
Supplementary Fig. 3,Lattice config 1,19,4,0.762401395059412
Supplementary Fig. 3,Lattice config 1,20,4,1.43216152553233
Supplementary Fig. 3,Lattice config 1,21,4,2.4740106173791
Supplementary Fig. 3,Lattice config 1,22,4,0.390312433685567
Supplementary Fig. 3,Lattice config 1,23,4,0.390312433685567
Supplementary Fig. 3,Lattice config 1,24,4,0.390312433685567
Supplementary Fig. 3,Lattice config 1,25,4,0.390312433685567
Supplementary Fig. 3,Lattice config 1,26,4,0.390312433685567
Supplementary Fig. 3,Lattice config 1,27,4,0.390312433685567
Supplementary Fig. 3,Lattice config 1,28,4,-0.899595965743761
Supplementary Fig. 3,Lattice config 1,29,4,-0.885421148167615
Supplementary Fig. 3,Lattice config 1,30,4,-0.800372242710736
Supplementary Fig. 3,Lattice config 1,31,4,-0.800372242710736
Supplementary Fig. 3,Lattice config 1,32,4,-0.800372242710736
Supplementary Fig. 3,Lattice config 1,33,4,-0.800372242710736
Supplementary Fig. 3,Lattice config 1,34,4,-0.428283281336891
Supplementary Fig. 3,Lattice config 1,35,4,-0.205029904512584
Supplementary Fig. 3,Lattice config 1,36,4,1.02817922461216
Supplementary Fig. 3,Lattice config 1,37,4,2.92051737102771
Supplementary Fig. 3,Lattice config 1,38,4,3.62748639763802
Supplementary Fig. 3,Lattice config 1,39,4,1.63060897159838
Supplementary Fig. 3,Lattice config 1,40,4,-0.595723313955121
Supplementary Fig. 3,Lattice config 1,41,4,-0.532468190521568
Supplementary Fig. 3,Lattice config 1,42,4,-0.800372242710736
Supplementary Fig. 3,Lattice config 1,43,4,-0.725954450435967
Supplementary Fig. 3,Lattice config 1,44,4,-0.750760381194223
Supplementary Fig. 3,Lattice config 1,45,4,-0.800372242710736
Supplementary Fig. 3,Lattice config 1,46,4,-0.750760381194223
Supplementary Fig. 3,Lattice config 1,47,4,-0.725954450435967
Supplementary Fig. 3,Lattice config 1,48,4,-0.436551924922977
Supplementary Fig. 3,Lattice config 1,49,4,0.241476849136029
Supplementary Fig. 3,Lattice config 1,50,4,0.836819187334182
Supplementary Fig. 3,Lattice config 1,51,4,1.91587717531833
Supplementary Fig. 3,Lattice config 1,52,4,1.5065793178071
Supplementary Fig. 3,Lattice config 1,53,4,0.560410244599325
Supplementary Fig. 3,Lattice config 1,54,4,-0.0934032161004308
Supplementary Fig. 3,Lattice config 1,55,4,-0.0934032161004308
Supplementary Fig. 3,Lattice config 1,56,4,-0.0934032161004308
Supplementary Fig. 3,Lattice config 1,57,4,-0.849984104227249
Supplementary Fig. 3,Lattice config 1,58,4,-0.800372242710736
Supplementary Fig. 3,Lattice config 1,59,4,-0.800372242710736
Supplementary Fig. 3,Lattice config 1,60,4,-0.750760381194223
Supplementary Fig. 3,Lattice config 1,61,4,-0.800372242710736
Supplementary Fig. 3,Lattice config 1,62,4,-0.725954450435967
Supplementary Fig. 3,Lattice config 1,63,4,-0.50270107361166
Supplementary Fig. 3,Lattice config 1,64,4,-0.353865489062122
Supplementary Fig. 3,Lattice config 1,65,4,1.20890814870803
